0.000, 1.00000
0.010, 0.98995
0.020, 0.98000
0.030, 0.97015
0.040, 0.96040
0.051, 0.95075
0.061, 0.94119
0.071, 0.93173
0.081, 0.92237
0.091, 0.91310
0.101, 0.90392
0.111, 0.89484
0.121, 0.88585
0.131, 0.87694
0.141, 0.86813
0.152, 0.85940
0.162, 0.85077
0.172, 0.84222
0.182, 0.83375
0.192, 0.82537
0.202, 0.81708
0.212, 0.80887
0.222, 0.80074
0.232, 0.79269
0.242, 0.78472
0.253, 0.77684
0.263, 0.76903
0.273, 0.76130
0.283, 0.75365
0.293, 0.74607
0.303, 0.73858
0.313, 0.73115
0.323, 0.72381
0.333, 0.71653
0.343, 0.70933
0.354, 0.70220
0.364, 0.69514
0.374, 0.68816
0.384, 0.68124
0.394, 0.67439
0.404, 0.66762
0.414, 0.66091
0.424, 0.65427
0.434, 0.64769
0.444, 0.64118
0.455, 0.63474
0.465, 0.62836
0.475, 0.62204
0.485, 0.61579
0.495, 0.60960
0.505, 0.60348
0.515, 0.59741
0.525, 0.59141
0.535, 0.58546
0.545, 0.57958
0.556, 0.57375
0.566, 0.56799
0.576, 0.56228
0.586, 0.55663
0.596, 0.55103
0.606, 0.54550
0.616, 0.54001
0.626, 0.53459
0.636, 0.52921
0.646, 0.52389
0.657, 0.51863
0.667, 0.51342
0.677, 0.50826
0.687, 0.50315
0.697, 0.49809
0.707, 0.49309
0.717, 0.48813
0.727, 0.48323
0.737, 0.47837
0.747, 0.47356
0.758, 0.46880
0.768, 0.46409
0.778, 0.45943
0.788, 0.45481
0.798, 0.45024
0.808, 0.44571
0.818, 0.44123
0.828, 0.43680
0.838, 0.43241
0.848, 0.42806
0.859, 0.42376
0.869, 0.41950
0.879, 0.41529
0.889, 0.41111
0.899, 0.40698
0.909, 0.40289
0.919, 0.39884
0.929, 0.39483
0.939, 0.39086
0.949, 0.38694
0.960, 0.38305
0.970, 0.37920
0.980, 0.37539
0.990, 0.37161
1.000, 0.36787
